age,covid_trouble_bills,education,enthusiasm,factory_farming_ban,gender,gss_bible,gss_spanking,gss_trust,id,income,loc_county,lv_likely,race,rigged_who_actually_won,social_fb,survey_method,vote2016,vote2020,vote_method,vote_ossoff_perdue,vote_warnock_loeffler,birth_control,covid_know_dead,covid_positive,covid_reduced_work,loc_east_west,loc_north_south,lv_thought,rigged_trump_concede,rigged_vote_counts,slaughterhouse_ban,urban_rural,vegetarian_imperative,weight,lv_index,lv_weight
55-64,No,Completed graduate school,More enthusiastic,Don't know,Female,Inspired word,Agree,Can't be too careful,wick_2141fadf1d46aec2509aec1f462e5010a52dd4404a00622998cebbca,"Between $75,000 and $99,999",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.09837237580113126,0.83,0.10979989470033333
18-34,No,Graduated from college,More enthusiastic,Don't know,Female,Inspired word,Disagree,Can't be too careful,wick_c0ed0e255b15527e347d6024ae22e028b4833e464e7cb75bc6620591,"Between $15,000 and $49,999",Another county in Georgia,Very likely,Other,Donald Trump,No,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.6215952363461339,0.83,0.6938034274480687
65 or older,No,Graduated from college,More enthusiastic,Agree,Male,Word of God,Agree,Can trust,wick_a26e200afa5a6d85169a5d6d52ea7860db901eef6cf22c27a5272bd4,"Between $50,000 and $74,999",Another county in Georgia,Very likely,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,I will vote on election day,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.1908504232022579,0.83,0.21302074083770364
55-64,No,Completed graduate school,More enthusiastic,Don't know,Female,Inspired word,Disagree,Can trust,wick_496b17e7520f8b03496d7206461b76a12ec945e8ab07f91eaa487a8e,"Between $100,000 and $150,000",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.22127526087888066,0.83,0.24697990819502488
65 or older,No,Completed graduate school,Less enthusiastic,Disagree,Female,Word of God,Don't know,Can't be too careful,wick_729095e0a6a3974a35b1e5b6fbd7120003d90613e3c7c6b924a3233e,"Between $50,000 and $74,999",Another county in Georgia,Very likely,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.13675577633813346,0.83,0.15264213880475086
65 or older,Unsure,Graduated from high school,Less enthusiastic,Don't know,Female,Word of God,Don't know,Can't be too careful,wick_0804f88bb5daf3642c714853d2921e1711f4b13868dd9559130a3c4c,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.7592465375116796,0.83,0.8474451205580869
65 or older,No,"Some college, no degree",More enthusiastic,Don't know,Female,Word of God,Agree,Can trust,wick_c1c679bfd056f29526dcd94ab686f59395e13e4e99bc415738c54954,"Between $50,000 and $74,999",Another county in Georgia,Very likely,"White, not Hispanic",Joe Biden,No,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.3908435768426909,0.83,0.43624628593279935
65 or older,No,Graduated from college,More enthusiastic,Disagree,Male,Inspired word,Don't know,Can trust,wick_25bd84d18bcac5d0deb32d60216009bfe4c3b65630d45a24d3666f31,"Between $50,000 and $74,999",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,No,IVR,Donald Trump,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.058547207081529114,0.83,0.06534839806600036
65 or older,No,Graduated from college,More enthusiastic,Don't know,Female,Book of fables,Disagree,Can trust,wick_a47ac113e086ba7e4784c84f69b96295e7942eb0726ed7bec4ca55bd,"Between $50,000 and $74,999",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.10822573996381188,0.83,0.1207978841124578
55-64,Yes,"Some college, no degree",More enthusiastic,Don't know,Male,Word of God,Agree,Can trust,wick_7178191ecc6074049bf3b53c580800c6e62b7fd3b4fa6ed23b80a1fe,"Between $15,000 and $49,999",Another county in Georgia,Very likely,"Black, non-Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.5550933963700623,0.83,0.6195763391289604
65 or older,Yes,Graduated from high school,More enthusiastic,Agree,Female,Word of God,Agree,Can't be too careful,wick_ef0b7a9adcdd3f9a0a7dba979699d412bb6a98624bf0c1f5900b199f,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"Black, non-Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,1.2793739917367186,0.83,1.4279936662200792
55-64,No,Graduated from college,Less enthusiastic,Agree,Female,Word of God,Agree,Can't be too careful,wick_973153ce71231eeec6f175b9eeb212c607c418e886ec93d1db096581,"Between $100,000 and $150,000",Another county in Georgia,Very likely,"Black, non-Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,1.3235029481185592,0.83,1.4772489040294925
65 or older,Yes,Graduated from high school,More enthusiastic,Agree,Male,Inspired word,Agree,Can trust,wick_08ca1cc21cbf881fb2d606c0db7d9574ef1bc4b6f8f7a0bf4b3e141f,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"Black, non-Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,1.3680309559763346,0.83,1.526949549502194
65 or older,No,Completed graduate school,More enthusiastic,Agree,Female,Inspired word,Disagree,Can trust,wick_1aa657ecc3579fc028cb88368fcc8224dfb7d7d2ce1105ee32c762e0,"Between $50,000 and $74,999",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.08292424438065497,0.83,0.09255721666728231
65 or older,No,Graduated from college,More enthusiastic,Don't know,Female,Word of God,Don't know,Can trust,wick_53b5136b5f3cd818be4523d762e3b26b75b876231b860eb3ae44340f,"Between $100,000 and $150,000","Cobb County, GA",Very likely,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.4077817654085435,0.83,0.45515211499099745
65 or older,No,Graduated from high school,More enthusiastic,Don't know,Male,Word of God,Agree,Can't be too careful,wick_03e94f7e4ba1315386daafd866c92f9d937e4c64a002a18f79322eb9,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,No,IVR,Hillary Clinton,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,1.6047375518309348,0.83,1.7911533881108226
65 or older,No,Graduated from college,More enthusiastic,Don't know,Female,Inspired word,Agree,Can trust,wick_afb797776254e5ca3dd8622b0b6821d3579fbdc2ef65e749ab036bbb,"Between $100,000 and $150,000",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.23290012811042715,0.83,0.25995518898431413
65 or older,No,Graduated from college,More enthusiastic,Agree,Male,Book of fables,Don't know,Can trust,wick_1aca6eaeb10fcb71c3b176442e05c755f043bcc90f5f72b05e477cb4,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,Yes,IVR,Did not vote,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.04953420936257717,0.83,0.05528839705030987
65 or older,Unsure,Graduated from high school,More enthusiastic,Don't know,Female,Word of God,Agree,Can trust,wick_cacf080471fbd146f4595e1f7a2751379621ee0c803bd9bc31718936,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"Black, non-Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,1.2793739917367186,0.83,1.4279936662200792
65 or older,Yes,"Some college, no degree",More enthusiastic,Don't know,Male,Word of God,Don't know,Can trust,wick_b794aa048cc38c5261ffa513c79d84dafc6a284cab960dea915e51db,"Between $15,000 and $49,999",Another county in Georgia,Already voted,Other,Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.22919437193127037,0.83,0.25581895017801454
65 or older,No,"Some college, no degree",More enthusiastic,Agree,Male,Word of God,Agree,Can't be too careful,wick_98cf883d5623fab55ede912bdd0df74ebcc036512adedea17c59b9ef,"Between $50,000 and $74,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.41792792062272055,0.83,0.4664769078005361
55-64,Yes,Graduated from college,Less enthusiastic,Don't know,Male,Inspired word,Agree,Can trust,wick_ee4944eec3b8d7118289b7316cfca8ba2e28a792aa54fc64f6584d57,"Over $150,000",Another county in Georgia,Very likely,"White, not Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.3433956687508664,0.83,0.38328654728863515
35-54,No,"Some college, no degree",Less enthusiastic,Don't know,Female,Word of God,Agree,Can't be too careful,wick_9ecc9168198c25bf6d2ec5a727fe29c661f572dad84bb77388a90672,"Under $15,000",Another county in Georgia,Already voted,"White, not Hispanic",Don't know,Yes,IVR,Did not vote,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.7434049710217041,0.83,0.8297633037032821
55-64,Yes,Graduated from high school,More enthusiastic,Don't know,Female,Word of God,Don't know,Can trust,wick_e3cf69e4c4040f2214e3a423f1785c412406a19a7959fa7e90f899d3,"Under $15,000",Another county in Georgia,Already voted,"Black, non-Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.8079630798089351,0.83,0.9018208654848602
55-64,No,"Some college, no degree",More enthusiastic,Don't know,Male,Word of God,Agree,Can trust,wick_6a4ae5b91236156872738a0f17b6ef90e185704d4c2556840f0e47de,"Between $15,000 and $49,999","Gwinnett County, GA",Very likely,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.4844345653658714,0.83,0.5407093590369781
55-64,Yes,Graduated from college,About the same,Disagree,Male,Inspired word,Agree,Can't be too careful,wick_a25eff4317eccc2fb3526de5e87c7025d4c19676a25c6321e8210d08,"Between $100,000 and $150,000",Another county in Georgia,Already voted,Other,Donald Trump,No,IVR,Donald Trump,Other,I will vote on election day,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.08050490490115801,0.83,0.08985683235786858
65 or older,Yes,Graduated from high school,Less enthusiastic,Don't know,Female,Word of God,Agree,Can't be too careful,wick_d3a2dd3e1fb1c76b740004afcf0afb74c3f84082b7d7de2462a27b09,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.7592465375116796,0.83,0.8474451205580869
55-64,Yes,"Some college, no degree",More enthusiastic,Disagree,Female,Inspired word,Agree,Can't be too careful,wick_3ff06b297e742500ce391982634fb205c5a88cfa682ce2e6aa7e4ba3,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,Yes,IVR,Other,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.4661646089949832,0.83,0.5203170561230118
55-64,No,Graduated from college,More enthusiastic,Agree,Female,Word of God,Agree,Can't be too careful,wick_a4af46039d0397ff262396f1cfba3dcecd5931042b9314a95e4cf499,"Between $100,000 and $150,000",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.4762621398114699,0.83,0.5315875760362948
18-34,No,"Some college, no degree",More enthusiastic,Disagree,Male,Word of God,Agree,Can't be too careful,wick_8215552dd5188409a1294ee6f9b8f159c48645072698abc2dfd2057c,"Between $75,000 and $99,999",Another county in Georgia,Very likely,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,1.539668010161441,0.83,1.7185249823686162
65 or older,No,Graduated from high school,More enthusiastic,Don't know,Female,Word of God,Agree,Can't be too careful,wick_538b77d4df5820314aa2b4a4c92e204382271f7b3b88f6736b4c003e,"Between $15,000 and $49,999",Another county in Georgia,Very likely,Other,Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,1.0802188147334608,0.83,1.205703442100754
65 or older,No,Graduated from high school,More enthusiastic,Don't know,Female,Word of God,Agree,Can trust,wick_2380ffd85e86b19a1227e50325f40ad8a9749cc2e3a1a7664b0079cf,"Between $15,000 and $49,999","Fulton County, GA",Very likely,"Black, non-Hispanic",Joe Biden,No,IVR,Donald Trump,Joe Biden,I will vote on election day,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.6521053494518732,0.83,0.7278577763343634
65 or older,No,Graduated from college,More enthusiastic,Agree,Male,Word of God,Agree,Can't be too careful,wick_83cd978ac5c4cf3588bd7f8ec4438951f0442714dac44ebf22884970,"Under $15,000",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.0617892256216568,0.83,0.06896702871737531
65 or older,Yes,Graduated from high school,More enthusiastic,Don't know,Male,Word of God,Disagree,Can't be too careful,wick_3389d35b02a410bb7c068610ccdb0be6dec8e192817ec4f9d0b85523,"Under $15,000",Another county in Georgia,Very likely,"White, not Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.41348813329361256,0.83,0.461521368430282
65 or older,Yes,"Some college, no degree",More enthusiastic,Agree,Female,Word of God,Agree,Can't be too careful,wick_ac6f6a3a49c4301867d99971da8b1c820830ed493ac4e33758227fc6,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.24845101827150856,0.83,0.2773125628230331
65 or older,No,Graduated from college,More enthusiastic,Disagree,Male,Inspired word,Don't know,Can trust,wick_84d800b2fda26cbe0900cbd20016f772e5d903bb9fa1b5c016ae1695,"Between $50,000 and $74,999",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,Yes,IVR,Donald Trump,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.058547207081529114,0.83,0.06534839806600036
55-64,Yes,Graduated from high school,More enthusiastic,Don't know,Female,Word of God,Don't know,Can trust,wick_0600d1c0a866a6900aaa2db89bcae9d411601264319e7fd0c624d1eb,"Under $15,000",Another county in Georgia,Already voted,"Black, non-Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.8079630798089351,0.83,0.9018208654848602
65 or older,No,"Some college, no degree",About the same,Don't know,Male,Inspired word,Don't know,Can trust,wick_4904a7ce5146f7f3c0eeb1152b53a0131903a425d8d3f9207eff5666,"Between $15,000 and $49,999",Another county in Georgia,Very likely,"White, not Hispanic",Joe Biden,Yes,IVR,Donald Trump,Donald Trump,I will vote on election day,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.2656679643595649,0.83,0.2965295315313172
35-54,No,Completed graduate school,More enthusiastic,Agree,Female,Book of fables,Don't know,Can trust,wick_9834895c1531b3ae8208339262d003dd390a99f231b9988582497566,"Between $75,000 and $99,999","Cobb County, GA",Already voted,"White, not Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.3717889762784446,0.83,0.41497818990001967
55-64,Unsure,Graduated from college,Less enthusiastic,Don't know,Male,Word of God,Don't know,Don't know,wick_aa61d94760834365e4a7d2cdd848d82a7aa38b5bd52bf21def52262d,"Between $50,000 and $74,999",Another county in Georgia,Already voted,Other,Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.20415972085771597,0.83,0.22787612548409017
55-64,No,Graduated from college,More enthusiastic,Don't know,Male,Book of fables,Don't know,Can trust,wick_3e0eb2d12d2c701483bbabf09cfc2471c8982978f8ecdff4faade978,"Over $150,000",Another county in Georgia,Very likely,"White, not Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Early vote in person,Undecided,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.3433956687508664,0.83,0.38328654728863515
55-64,No,Graduated from high school,Less enthusiastic,Don't know,Female,Word of God,Don't know,Can trust,wick_e43b6dec9ea210ffdcae978a67d36cc0c8f2280095873b74a06d5973,"Between $15,000 and $49,999",Another county in Georgia,Very likely,"White, not Hispanic",Joe Biden,Yes,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.9414450906448125,0.83,1.0508089387606052
55-64,Yes,Graduated from high school,More enthusiastic,Don't know,Male,Word of God,Agree,Can't be too careful,wick_236db46db19d368fd8f4616d4bd0387ea704d1428416df54bb1b35ab,"Under $15,000",Another county in Georgia,Very likely,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,I will vote on election day,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.5127140578144183,0.83,0.5722739651343904
55-64,No,"Some college, no degree",More enthusiastic,Don't know,Female,Inspired word,Agree,Can trust,wick_21b4e4fe47590e34346d813cb757dee93aea5d8a04c31e370b1989f1,"Between $15,000 and $49,999",Another county in Georgia,Very likely,"Black, non-Hispanic",Donald Trump,No,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.5191198716653489,0.83,0.579423916333333
18-34,No,Graduated from high school,More enthusiastic,Don't know,Male,Word of God,Don't know,Can't be too careful,wick_8a8117d156253060666775ef970087ec1dc3a897dd5ae60ea13fcc34,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"Black, non-Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,Early vote in person,Undecided,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,8.687730078090924,0.83,9.69694835558025
65 or older,No,Less than high school,More enthusiastic,Don't know,Male,Word of God,Agree,Can trust,wick_14d9ac2527134b0a42876c95abfd7f98d5cc7acf68ee160a26c641e9,"Between $15,000 and $49,999",Another county in Georgia,Very likely,"White, not Hispanic",Joe Biden,No,IVR,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,3.231285285765518,0.83,3.60665055849663
55-64,No,"Some college, no degree",About the same,Don't know,Female,Inspired word,Agree,Don't know,wick_fc591441ed8f1445dd83b0a0a5e9fb4778d43385391d0e4e0ae39233,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"Black, non-Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.5191198716653489,0.83,0.579423916333333
65 or older,No,Graduated from high school,More enthusiastic,Agree,Male,Word of God,Agree,Can't be too careful,wick_9868ec3d922630d85ea97b0c63c21d77a301a8716c9b559d6dc0df76,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Donald Trump,No,IVR,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.8118601544524544,0.83,0.9061706474435961
65 or older,No,"Some college, no degree",About the same,Don't know,Female,Word of God,Agree,Don't know,wick_f13f2ac8fde50923589598abf3c9576b0437f9a1f822332fcc13216a,"Between $15,000 and $49,999","Fulton County, GA",Already voted,"Black, non-Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.4217921689789781,0.83,0.4707900501756959
65 or older,No,Graduated from high school,More enthusiastic,Don't know,Female,Inspired word,Don't know,Can trust,wick_7aeb97d077e6079a91daa1b02c2c90f1854057ed42a2f27c6a79ad8e,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,No,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.4603823480634118,0.83,0.5138630934506059
65 or older,Yes,Graduated from college,More enthusiastic,Disagree,Male,Inspired word,Don't know,Can trust,wick_d2ab8bd2c5a7fac67e8853677d5c04671061e4c7e604126db5e53e83,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,Yes,IVR,Did not vote,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.04953420936257717,0.83,0.05528839705030987
65 or older,No,Completed graduate school,More enthusiastic,Don't know,Female,Inspired word,Disagree,Can trust,wick_63a5c06dd179b0626ce349fc21816993b1bf20d55bd44681962832d6,"Between $15,000 and $49,999",Another county in Georgia,Already voted,"White, not Hispanic",Joe Biden,Yes,IVR,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,0.05271319314545468,0.83,0.058836670452994164
35-54,Yes,"Some college, no degree",More enthusiastic,Disagree,Female,Word of God,Agree,Can't be too careful,wick_b54fb3b6ca7faebe58b99cc3573be01460b7f11d7c45099ee831b684,"Between $15,000 and $49,999",Another county in Georgia,Very likely,"White, not Hispanic",Donald Trump,Yes,IVR,Donald Trump,Donald Trump,I will vote on election day,David Perdue,Kelly Loeffler,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,1.0966862200937888,0.83,1.2240837989827205
